Date:	9/24/2020
Time:	2:38 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:38:39.205  	10.619	64.45	-2.1	0.08	0.25	0.09	-0.076	Normal	
20200924 14:38:39.337  	10.842	65.12	-2.0	0.08	0.25	0.10	-0.076	Normal	
20200924 14:38:39.437  	10.988	65.56	-2.0	0.08	0.26	0.10	-0.076	Normal	
20200924 14:38:39.571  	11.178	66.12	-2.0	0.09	0.27	0.10	-0.076	Normal	
20200924 14:38:39.702  	11.364	66.67	-2.0	0.09	0.27	0.10	-0.075	Normal	
20200924 14:38:39.803  	11.547	67.20	-2.0	0.09	0.29	0.10	-0.075	Normal	
20200924 14:38:39.936  	11.749	67.79	-2.0	0.09	0.30	0.10	-0.075	Normal	
20200924 14:38:40.070  	11.960	68.40	-2.0	0.09	0.31	0.10	-0.076	Normal	
20200924 14:38:40.171  	12.092	68.77	-2.0	0.09	0.31	0.10	-0.076	Normal	
20200924 14:38:40.271  	12.209	69.10	-2.0	0.09	0.31	0.10	-0.076	Normal	
20200924 14:38:40.371  	12.315	69.41	-2.0	0.10	0.31	0.11	-0.076	Normal	
20200924 14:38:40.471  	12.374	69.57	-2.0	0.09	0.31	0.11	-0.076	Normal	
20200924 14:38:40.572  	12.443	69.77	-2.0	0.10	0.31	0.11	-0.076	Normal	
20200924 14:38:40.675  	12.472	69.84	-2.0	0.10	0.31	0.11	-0.076	Normal	
20200924 14:38:40.807  	12.556	70.08	-2.0	0.10	0.31	0.12	-0.077	Normal	
20200924 14:38:40.909  	12.598	70.20	-2.0	0.10	0.31	0.12	-0.078	Normal	
20200924 14:38:41.008  	12.631	70.29	-2.0	0.10	0.31	0.12	-0.078	Normal	
20200924 14:38:41.107  	12.678	70.42	-2.0	0.10	0.31	0.12	-0.078	Normal	
20200924 14:38:41.208  	12.734	70.57	-2.0	0.10	0.31	0.12	-0.079	Normal	
20200924 14:38:41.309  	12.787	70.72	-2.0	0.11	0.32	0.12	-0.079	Normal	
20200924 14:38:41.410  	12.838	70.86	-2.0	0.11	0.32	0.12	-0.079	Normal	
20200924 14:38:41.510  	12.877	70.97	-2.0	0.11	0.33	0.12	-0.079	Normal	
20200924 14:38:41.642  	12.902	71.04	-2.0	0.10	0.34	0.12	-0.079	Normal	
20200924 14:38:41.742  	12.912	71.07	-2.0	0.10	0.33	0.11	-0.079	Normal	
20200924 14:38:41.874  	12.898	71.03	-2.0	0.10	0.33	0.11	-0.079	Normal	
20200924 14:38:41.974  	12.883	70.99	-2.0	0.09	0.32	0.11	-0.079	Normal	
20200924 14:38:42.105  	12.844	70.88	-2.0	0.09	0.32	0.11	-0.078	Normal	
20200924 14:38:42.236  	12.777	70.69	-2.0	0.09	0.32	0.11	-0.078	Normal	
20200924 14:38:42.336  	12.745	70.61	-2.0	0.10	0.32	0.11	-0.077	Normal	
20200924 14:38:42.437  	12.699	70.48	-2.0	0.09	0.32	0.11	-0.077	Normal	
20200924 14:38:42.539  	12.671	70.40	-2.0	0.09	0.32	0.11	-0.077	Normal	
20200924 14:38:42.670  	12.645	70.33	-2.0	0.09	0.32	0.11	-0.077	Normal	
20200924 14:38:42.802  	12.612	70.24	-2.0	0.09	0.31	0.11	-0.076	Normal	
