Date:	9/24/2020
Time:	2:23 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:22:53.359  	5.990	48.40	13.4	0.07	-0.34	0.06	-0.044	Normal	
20200924 14:22:53.460  	5.960	48.28	13.4	0.07	-0.34	0.05	-0.044	Normal	
20200924 14:22:53.593  	5.938	48.20	13.4	0.07	-0.35	0.05	-0.044	Normal	
20200924 14:22:53.693  	5.906	48.06	13.5	0.06	-0.35	0.05	-0.045	Normal	
20200924 14:22:53.794  	5.894	48.02	13.7	0.06	-0.35	0.05	-0.045	Normal	
20200924 14:22:53.893  	5.880	47.96	13.8	0.06	-0.35	0.05	-0.045	Normal	
20200924 14:22:53.996  	5.885	47.98	13.9	0.07	-0.35	0.05	-0.044	Normal	
20200924 14:22:54.125  	5.877	47.95	14.0	0.07	-0.34	0.05	-0.044	Normal	
20200924 14:22:54.226  	5.858	47.87	14.3	0.07	-0.33	0.06	-0.044	Normal	
20200924 14:22:54.327  	5.865	47.90	14.4	0.07	-0.33	0.06	-0.044	Normal	
20200924 14:22:54.459  	5.887	47.99	14.6	0.07	-0.33	0.06	-0.044	Normal	
20200924 14:22:54.561  	5.906	48.06	14.6	0.08	-0.33	0.06	-0.044	Normal	
20200924 14:22:54.693  	5.912	48.09	14.6	0.08	-0.34	0.07	-0.044	Normal	
20200924 14:22:54.793  	5.923	48.13	14.6	0.08	-0.34	0.07	-0.044	Normal	
20200924 14:22:54.893  	5.945	48.22	14.7	0.08	-0.32	0.07	-0.044	Normal	
20200924 14:22:54.993  	5.956	48.27	14.8	0.08	-0.32	0.07	-0.045	Normal	
20200924 14:22:55.125  	5.948	48.24	14.9	0.08	-0.31	0.07	-0.045	Normal	
20200924 14:22:55.226  	5.968	48.32	14.9	0.08	-0.32	0.07	-0.045	Normal	
20200924 14:22:55.326  	6.008	48.48	15.1	0.09	-0.32	0.08	-0.045	Normal	
20200924 14:22:55.459  	6.064	48.70	15.5	0.10	-0.32	0.09	-0.045	Normal	
20200924 14:22:55.560  	6.075	48.75	15.8	0.11	-0.31	0.09	-0.045	Normal	
20200924 14:22:55.660  	6.101	48.85	16.0	0.11	-0.31	0.10	-0.045	Normal	
20200924 14:22:55.759  	6.135	48.98	16.0	0.11	-0.31	0.10	-0.045	Normal	
20200924 14:22:55.860  	6.127	48.95	16.0	0.11	-0.32	0.10	-0.044	Normal	
20200924 14:22:55.959  	6.131	48.97	16.0	0.11	-0.34	0.10	-0.045	Normal	
20200924 14:22:56.061  	6.122	48.94	16.0	0.02	-0.36	0.01	-0.044	Normal	
20200924 14:22:56.194  	6.114	48.90	16.2	0.00	-0.38	-0.02	-0.044	Normal	
20200924 14:22:56.293  	6.109	48.88	16.3	-0.01	-0.39	-0.03	-0.045	Normal	
20200924 14:22:56.393  	6.112	48.89	16.5	-0.02	-0.39	-0.04	-0.044	Normal	
20200924 14:22:56.525  	6.118	48.92	16.6	-0.04	-0.40	-0.06	-0.044	Normal	
20200924 14:22:56.625  	6.126	48.95	16.8	-0.07	-0.40	-0.09	-0.044	Normal	
20200924 14:22:56.726  	6.111	48.89	16.9	-0.07	-0.40	-0.10	-0.044	Normal	
20200924 14:22:56.826  	6.122	48.93	17.0	-0.08	-0.41	-0.10	-0.044	Normal	
20200924 14:22:56.925  	6.100	48.85	17.2	-0.07	-0.41	-0.09	-0.044	Normal	
20200924 14:22:57.026  	6.098	48.84	17.4	-0.07	-0.41	-0.09	-0.044	Normal	
20200924 14:22:57.128  	6.086	48.79	17.4	-0.07	-0.41	-0.09	-0.044	Normal	
20200924 14:22:57.227  	6.081	48.77	17.4	-0.07	-0.41	-0.10	-0.044	Normal	
20200924 14:22:57.329  	6.055	48.67	17.4	-0.07	-0.40	-0.09	-0.044	Normal	
20200924 14:22:57.427  	6.064	48.70	17.4	-0.07	-0.40	-0.09	-0.044	Normal	
20200924 14:22:57.527  	6.069	48.72	17.5	-0.07	-0.40	-0.09	-0.044	Normal	
20200924 14:22:57.628  	6.076	48.75	17.7	-0.04	-0.40	-0.06	-0.044	Normal	
20200924 14:22:57.761  	6.101	48.85	17.8	-0.04	-0.40	-0.06	-0.044	Normal	
20200924 14:22:57.864  	6.127	48.95	18.0	-0.06	-0.40	-0.08	-0.043	Normal	
20200924 14:22:57.963  	6.151	49.05	18.0	-0.08	-0.40	-0.10	-0.043	Normal	
20200924 14:22:58.093  	6.200	49.25	18.2	-0.09	-0.39	-0.12	-0.043	Normal	
20200924 14:22:58.195  	6.217	49.31	18.2	-0.10	-0.40	-0.12	-0.043	Normal	
20200924 14:22:58.295  	6.237	49.39	18.2	-0.10	-0.40	-0.12	-0.043	Normal	
20200924 14:22:58.395  	6.229	49.36	18.2	-0.10	-0.40	-0.12	-0.043	Normal	
20200924 14:22:58.528  	6.226	49.35	18.2	-0.10	-0.41	-0.12	-0.043	Normal	
20200924 14:22:58.629  	6.238	49.40	18.2	-0.10	-0.41	-0.12	-0.044	Normal	
20200924 14:22:58.728  	6.222	49.33	18.2	-0.09	-0.40	-0.11	-0.043	Normal	
20200924 14:22:58.859  	6.232	49.37	18.2	-0.09	-0.40	-0.11	-0.044	Normal	
20200924 14:22:58.960  	6.226	49.35	18.2	-0.09	-0.40	-0.11	-0.044	Normal	
20200924 14:22:59.059  	6.229	49.36	18.2	-0.08	-0.40	-0.11	-0.044	Normal	
20200924 14:22:59.160  	6.215	49.30	18.2	-0.08	-0.41	-0.11	-0.044	Normal	
20200924 14:22:59.260  	6.225	49.34	18.2	-0.09	-0.41	-0.11	-0.044	Normal	
20200924 14:22:59.360  	6.244	49.42	18.2	-0.09	-0.41	-0.11	-0.044	Normal	
20200924 14:22:59.493  	6.256	49.47	18.2	-0.09	-0.41	-0.11	-0.044	Normal	
